away,home,start_dt,away_score,home_score,over_under
Boston Red Sox,Los Angeles Dodgers,2013-08-24 15:05:00-04:00,4,2,7.0
Colorado Rockies,Miami Marlins,2013-08-24 18:10:00-04:00,0,3,7.0
Chicago Cubs,San Diego Padres,2013-08-24 19:40:00-04:00,3,2,7.0
Minnesota Twins,Cleveland Indians,2013-08-24 18:05:00-04:00,2,7,8.5
Los Angeles Angels,Seattle Mariners,2013-08-24 20:10:00-04:00,5,1,8.0
Miami Marlins,Washington Nationals,2013-08-29 18:05:00-04:00,0,9,7.5
Los Angeles Angels,Tampa Bay Rays,2013-08-29 12:10:00-04:00,2,0,8.5
Baltimore Orioles,Boston Red Sox,2013-08-29 18:10:00-04:00,3,2,8.5
Philadelphia Phillies,New York Mets,2013-08-29 12:10:00-04:00,3,11,7.5
Milwaukee Brewers,Pittsburgh Pirates,2013-08-29 18:05:00-04:00,4,0,7.5
Oakland Athletics,Detroit Tigers,2013-08-29 12:05:00-04:00,6,7,8.0
Cleveland Indians,Atlanta Braves,2013-08-29 18:10:00-04:00,1,3,7.5
New York Mets,Washington Nationals,2013-08-31 18:05:00-04:00,11,3,7.5
Miami Marlins,Atlanta Braves,2013-08-31 18:10:00-04:00,4,5,7.0
San Francisco Giants,Arizona Diamondbacks,2013-08-31 19:10:00-04:00,3,4,8.5
Baltimore Orioles,New York Yankees,2013-08-31 12:05:00-04:00,0,2,9.0
Chicago White Sox,Boston Red Sox,2013-08-31 18:10:00-04:00,2,7,9.0
Minnesota Twins,Texas Rangers,2013-08-31 19:05:00-04:00,1,2,9.0
St. Louis Cardinals,Pittsburgh Pirates,2013-08-31 18:05:00-04:00,1,7,7.5
Cincinnati Reds,Colorado Rockies,2013-08-31 19:10:00-04:00,8,3,10.5
San Diego Padres,Los Angeles Dodgers,2013-08-31 20:10:00-04:00,1,2,7.5
Kansas City Royals,Toronto Blue Jays,2013-08-31 12:05:00-04:00,2,4,8.5
Cleveland Indians,Detroit Tigers,2013-08-31 18:05:00-04:00,5,10,8.5
Seattle Mariners,Houston Astros,2013-08-31 18:10:00-04:00,3,1,9.0
Tampa Bay Rays,Oakland Athletics,2013-08-31 20:05:00-04:00,1,2,7.0
Los Angeles Angels,Milwaukee Brewers,2013-08-31 18:10:00-04:00,6,5,8.5
Philadelphia Phillies,Chicago Cubs,2013-09-01 13:20:00-04:00,1,7,9.0
San Diego Padres,Los Angeles Dodgers,2013-09-01 15:10:00-04:00,1,2,7.0
Miami Marlins,Atlanta Braves,2013-09-01 16:00:00-04:00,7,0,7.0
Chicago White Sox,Boston Red Sox,2013-09-01 12:35:00-04:00,6,7,9.5
Minnesota Twins,Texas Rangers,2013-09-01 14:05:00-04:00,4,2,9.5
San Francisco Giants,Arizona Diamondbacks,2013-09-01 15:10:00-04:00,8,2,8.0
New York Mets,Washington Nationals,2013-09-01 19:05:00-04:00,5,6,8.0
Cleveland Indians,Detroit Tigers,2013-09-01 12:05:00-04:00,4,0,8.5
Baltimore Orioles,New York Yankees,2013-09-01 12:05:00-04:00,7,3,8.5
Tampa Bay Rays,Oakland Athletics,2013-09-01 15:05:00-04:00,1,5,8.0
Los Angeles Angels,Milwaukee Brewers,2013-09-01 13:10:00-04:00,5,3,8.0
St. Louis Cardinals,Cincinnati Reds,2013-09-02 12:10:00-04:00,2,7,7.5
Miami Marlins,Chicago Cubs,2013-09-02 13:20:00-04:00,4,3,7.0
Detroit Tigers,Boston Red Sox,2013-09-02 12:35:00-04:00,3,0,9.0
Texas Rangers,Oakland Athletics,2013-09-02 15:05:00-04:00,2,4,7.5
New York Mets,Atlanta Braves,2013-09-02 12:10:00-04:00,5,13,8.5
San Francisco Giants,San Diego Padres,2013-09-02 14:40:00-04:00,1,4,8.0
Chicago White Sox,New York Yankees,2013-09-02 12:05:00-04:00,1,9,8.5
Seattle Mariners,Kansas City Royals,2013-09-02 13:10:00-04:00,1,3,7.0
Baltimore Orioles,Cleveland Indians,2013-09-02 15:05:00-04:00,7,2,8.0
Toronto Blue Jays,Arizona Diamondbacks,2013-09-02 15:10:00-04:00,4,1,9.0
Miami Marlins,Chicago Cubs,2013-09-04 13:20:00-04:00,7,9,8.0
Baltimore Orioles,Cleveland Indians,2013-09-04 18:05:00-04:00,4,6,8.5
Seattle Mariners,Kansas City Royals,2013-09-04 19:10:00-04:00,6,4,8.0
New York Mets,Atlanta Braves,2013-09-04 11:10:00-04:00,5,2,8.0
San Francisco Giants,San Diego Padres,2013-09-04 17:40:00-04:00,13,5,7.0
St. Louis Cardinals,Cincinnati Reds,2013-09-04 18:10:00-04:00,5,4,8.0
Los Angeles Dodgers,Colorado Rockies,2013-09-04 19:40:00-04:00,5,7,10.0
Chicago White Sox,New York Yankees,2013-09-04 18:05:00-04:00,5,6,8.5
Detroit Tigers,Boston Red Sox,2013-09-04 18:10:00-04:00,4,20,9.5
Tampa Bay Rays,Los Angeles Angels,2013-09-04 21:05:00-04:00,3,1,7.5
Toronto Blue Jays,Arizona Diamondbacks,2013-09-04 14:40:00-04:00,3,4,8.0
Colorado Rockies,San Francisco Giants,2013-09-11 14:45:00-04:00,3,4,7.0
Atlanta Braves,Miami Marlins,2013-09-11 18:10:00-04:00,2,5,6.5
Milwaukee Brewers,St. Louis Cardinals,2013-09-11 19:15:00-04:00,1,5,8.0
Los Angeles Angels,Toronto Blue Jays,2013-09-11 18:05:00-04:00,5,4,8.5
Boston Red Sox,Tampa Bay Rays,2013-09-11 18:10:00-04:00,7,3,7.5
Chicago Cubs,Cincinnati Reds,2013-09-11 11:35:00-04:00,0,6,8.5
San Diego Padres,Philadelphia Phillies,2013-09-11 18:05:00-04:00,2,4,7.5
Arizona Diamondbacks,Los Angeles Dodgers,2013-09-11 21:10:00-04:00,4,1,7.0
New York Yankees,Baltimore Orioles,2013-09-11 18:05:00-04:00,5,4,9.0
Houston Astros,Seattle Mariners,2013-09-11 21:10:00-04:00,6,1,9.5
Pittsburgh Pirates,Texas Rangers,2013-09-11 13:05:00-04:00,7,5,8.0
Chicago Cubs,Milwaukee Brewers,2013-09-16 19:10:00-04:00,1,6,8.0
Los Angeles Dodgers,Arizona Diamondbacks,2013-09-16 20:40:00-04:00,1,2,9.0
Seattle Mariners,Detroit Tigers,2013-09-16 18:05:00-04:00,2,4,9.0
Cleveland Indians,Kansas City Royals,2013-09-16 19:10:00-04:00,1,7,7.5
Los Angeles Angels,Oakland Athletics,2013-09-16 21:05:00-04:00,12,1,7.0
Miami Marlins,Philadelphia Phillies,2013-09-16 18:05:00-04:00,2,12,7.0
San Diego Padres,Pittsburgh Pirates,2013-09-16 18:05:00-04:00,2,0,6.5
Texas Rangers,Tampa Bay Rays,2013-09-16 18:10:00-04:00,2,6,7.0
Minnesota Twins,Chicago White Sox,2013-09-16 19:10:00-04:00,1,12,8.5
Miami Marlins,Washington Nationals,2013-09-19 18:05:00-04:00,2,3,7.0
Seattle Mariners,Detroit Tigers,2013-09-19 12:05:00-04:00,4,5,8.5
San Diego Padres,Pittsburgh Pirates,2013-09-19 11:35:00-04:00,1,10,7.0
Chicago Cubs,Milwaukee Brewers,2013-09-19 13:10:00-04:00,5,1,8.5
Houston Astros,Cleveland Indians,2013-09-19 18:05:00-04:00,1,2,8.0
Baltimore Orioles,Boston Red Sox,2013-09-19 18:10:00-04:00,1,3,8.5
Minnesota Twins,Oakland Athletics,2013-09-19 21:05:00-04:00,6,8,7.5
New York Mets,Cincinnati Reds,2013-09-23 18:10:00-04:00,2,3,7.5
Arizona Diamondbacks,San Diego Padres,2013-09-23 21:10:00-04:00,1,4,7.0
Baltimore Orioles,Tampa Bay Rays,2013-09-23 14:10:00-04:00,4,5,7.0
Philadelphia Phillies,Miami Marlins,2013-09-23 18:10:00-04:00,0,4,7.0
Milwaukee Brewers,Atlanta Braves,2013-09-23 18:10:00-04:00,5,0,7.0
Washington Nationals,St. Louis Cardinals,2013-09-23 19:15:00-04:00,3,4,7.0
Houston Astros,Texas Rangers,2013-09-23 19:05:00-04:00,0,12,8.5
Oakland Athletics,Los Angeles Angels,2013-09-23 21:05:00-04:00,10,5,8.0
Toronto Blue Jays,Chicago White Sox,2013-09-23 19:10:00-04:00,2,3,7.5
Detroit Tigers,Boston Red Sox,2013-10-13 19:05:00-04:00,5,6,7.0
Boston Red Sox,Detroit Tigers,2013-10-17 19:05:00-04:00,4,3,7.0
St. Louis Cardinals,Boston Red Sox,2013-10-24 19:05:00-04:00,4,2,7.0
Boston Red Sox,St. Louis Cardinals,2013-10-26 19:05:00-04:00,4,5,7.5
Boston Red Sox,St. Louis Cardinals,2013-10-27 19:15:00-04:00,4,2,7.5
Kansas City Royals,Detroit Tigers,2014-03-31 12:05:00-04:00,3,4,7.0
Toronto Blue Jays,Tampa Bay Rays,2014-03-31 15:10:00-04:00,2,9,7.0
Cleveland Indians,Oakland Athletics,2014-03-31 21:05:00-04:00,2,0,7.0
Chicago Cubs,Pittsburgh Pirates,2014-03-31 12:05:00-04:00,0,1,6.5
Colorado Rockies,Miami Marlins,2014-03-31 18:05:00-04:00,1,10,6.5
Minnesota Twins,Chicago White Sox,2014-03-31 15:10:00-04:00,3,5,7.0
Seattle Mariners,Los Angeles Angels,2014-03-31 21:05:00-04:00,10,3,7.0
Philadelphia Phillies,Texas Rangers,2014-03-31 13:05:00-04:00,14,10,7.75
San Francisco Giants,Arizona Diamondbacks,2014-04-01 20:40:00-04:00,4,5,8.5
Atlanta Braves,Milwaukee Brewers,2014-04-01 19:10:00-04:00,5,2,8.5
Toronto Blue Jays,Tampa Bay Rays,2014-04-01 18:10:00-04:00,4,2,7.5
Seattle Mariners,Los Angeles Angels,2014-04-01 21:05:00-04:00,8,3,7.5
Philadelphia Phillies,Texas Rangers,2014-04-01 19:05:00-04:00,2,3,8.5
Miami Marlins,Washington Nationals,2014-04-09 18:05:00-04:00,7,10,7.0
New York Mets,Atlanta Braves,2014-04-09 18:10:00-04:00,3,4,7.0
Arizona Diamondbacks,San Francisco Giants,2014-04-09 21:15:00-04:00,7,3,7.5
Texas Rangers,Boston Red Sox,2014-04-09 15:05:00-04:00,2,4,8.5
Baltimore Orioles,New York Yankees,2014-04-09 18:05:00-04:00,5,4,8.0
Chicago White Sox,Colorado Rockies,2014-04-09 14:10:00-04:00,4,10,10.0
Cincinnati Reds,St. Louis Cardinals,2014-04-09 12:45:00-04:00,4,0,7.5
Houston Astros,Toronto Blue Jays,2014-04-09 18:05:00-04:00,3,7,9.0
San Diego Padres,Cleveland Indians,2014-04-09 11:05:00-04:00,0,2,8.0
San Diego Padres,Cleveland Indians,2014-04-09 14:05:00-04:00,2,1,8.5
Miami Marlins,Washington Nationals,2014-04-10 15:05:00-04:00,1,7,7.5
New York Mets,Atlanta Braves,2014-04-10 18:10:00-04:00,6,4,7.5
Boston Red Sox,New York Yankees,2014-04-10 18:05:00-04:00,1,4,8.5
Milwaukee Brewers,Philadelphia Phillies,2014-04-10 18:05:00-04:00,6,2,7.0
Arizona Diamondbacks,San Francisco Giants,2014-04-10 21:15:00-04:00,6,5,8.0
Houston Astros,Toronto Blue Jays,2014-04-10 18:05:00-04:00,6,4,9.0
Colorado Rockies,San Francisco Giants,2014-04-12 15:05:00-04:00,1,0,7.5
Pittsburgh Pirates,Milwaukee Brewers,2014-04-12 18:10:00-04:00,2,3,8.5
Boston Red Sox,New York Yankees,2014-04-12 12:05:00-04:00,4,7,8.5
Houston Astros,Texas Rangers,2014-04-12 19:05:00-04:00,6,5,9.5
Chicago Cubs,St. Louis Cardinals,2014-04-12 13:15:00-04:00,4,10,7.0
Miami Marlins,Philadelphia Phillies,2014-04-12 18:05:00-04:00,4,5,8.0
Washington Nationals,Atlanta Braves,2014-04-12 18:10:00-04:00,3,6,7.0
Toronto Blue Jays,Baltimore Orioles,2014-04-12 18:05:00-04:00,1,2,9.0
New York Mets,Los Angeles Angels,2014-04-12 20:05:00-04:00,7,6,7.5
St. Louis Cardinals,Milwaukee Brewers,2014-04-15 19:10:00-04:00,6,1,8.0
Colorado Rockies,San Diego Padres,2014-04-15 21:10:00-04:00,3,2,7.0
New York Mets,Arizona Diamondbacks,2014-04-15 20:40:00-04:00,9,0,9.0
Los Angeles Dodgers,San Francisco Giants,2014-04-15 21:15:00-04:00,2,3,8.0
Seattle Mariners,Texas Rangers,2014-04-15 19:05:00-04:00,0,5,9.0
Oakland Athletics,Los Angeles Angels,2014-04-15 21:05:00-04:00,10,9,8.5
St. Louis Cardinals,Milwaukee Brewers,2014-04-16 12:10:00-04:00,1,5,8.5
Atlanta Braves,Philadelphia Phillies,2014-04-16 18:05:00-04:00,1,0,6.5
Colorado Rockies,San Diego Padres,2014-04-16 21:10:00-04:00,2,4,6.5
Cleveland Indians,Detroit Tigers,2014-04-16 18:05:00-04:00,3,2,7.5
Pittsburgh Pirates,Cincinnati Reds,2014-04-16 11:35:00-04:00,0,4,7.0
New York Mets,Arizona Diamondbacks,2014-04-16 14:40:00-04:00,5,2,9.0
Washington Nationals,Miami Marlins,2014-04-16 18:10:00-04:00,6,3,6.5
Los Angeles Dodgers,San Francisco Giants,2014-04-16 21:15:00-04:00,1,2,8.0
Tampa Bay Rays,Baltimore Orioles,2014-04-16 11:35:00-04:00,0,3,8.5
Seattle Mariners,Texas Rangers,2014-04-16 19:05:00-04:00,2,3,6.75
Oakland Athletics,Los Angeles Angels,2014-04-16 21:05:00-04:00,4,5,8.25
Chicago Cubs,New York Yankees,2014-04-16 18:05:00-04:00,0,2,7.0
Chicago Cubs,New York Yankees,2014-04-16 12:05:00-04:00,0,3,7.5
San Francisco Giants,San Diego Padres,2014-04-18 21:10:00-04:00,1,2,6.5
Toronto Blue Jays,Cleveland Indians,2014-04-18 18:05:00-04:00,3,2,7.5
Baltimore Orioles,Boston Red Sox,2014-04-18 18:10:00-04:00,8,4,7.5
Minnesota Twins,Kansas City Royals,2014-04-18 19:10:00-04:00,0,5,7.5
Cincinnati Reds,Chicago Cubs,2014-04-18 13:20:00-04:00,4,1,6.5
Milwaukee Brewers,Pittsburgh Pirates,2014-04-18 18:05:00-04:00,5,3,7.0
Philadelphia Phillies,Colorado Rockies,2014-04-18 19:40:00-04:00,1,12,10.5
Arizona Diamondbacks,Los Angeles Dodgers,2014-04-18 21:10:00-04:00,4,2,6.5
Los Angeles Angels,Detroit Tigers,2014-04-18 18:05:00-04:00,11,6,8.0
Chicago White Sox,Texas Rangers,2014-04-18 19:05:00-04:00,0,12,8.5
Houston Astros,Oakland Athletics,2014-04-18 21:05:00-04:00,3,11,7.0
Seattle Mariners,Miami Marlins,2014-04-18 18:10:00-04:00,4,8,7.5
Arizona Diamondbacks,Los Angeles Dodgers,2014-04-19 19:10:00-04:00,6,8,7.0
Los Angeles Angels,Detroit Tigers,2014-04-19 12:05:00-04:00,2,5,7.5
Minnesota Twins,Kansas City Royals,2014-04-19 13:10:00-04:00,4,5,8.5
New York Yankees,Tampa Bay Rays,2014-04-19 18:10:00-04:00,1,16,7.5
St. Louis Cardinals,Washington Nationals,2014-04-19 12:05:00-04:00,4,3,7.0
Milwaukee Brewers,Pittsburgh Pirates,2014-04-19 18:05:00-04:00,8,7,7.25
Philadelphia Phillies,Colorado Rockies,2014-04-19 19:10:00-04:00,1,3,10.5
Toronto Blue Jays,Cleveland Indians,2014-04-19 12:05:00-04:00,5,0,7.5
Baltimore Orioles,Boston Red Sox,2014-04-19 12:35:00-04:00,2,4,9.0
Houston Astros,Oakland Athletics,2014-04-19 15:05:00-04:00,3,4,7.5
Chicago White Sox,Texas Rangers,2014-04-19 19:05:00-04:00,3,6,9.0
St. Louis Cardinals,Washington Nationals,2014-04-20 12:35:00-04:00,2,3,7.0
Arizona Diamondbacks,Los Angeles Dodgers,2014-04-20 15:10:00-04:00,1,4,7.5
Minnesota Twins,Kansas City Royals,2014-04-20 13:10:00-04:00,8,3,8.0
Houston Astros,Oakland Athletics,2014-04-20 15:05:00-04:00,1,4,8.0
Atlanta Braves,New York Mets,2014-04-20 12:10:00-04:00,3,4,7.5
Milwaukee Brewers,Pittsburgh Pirates,2014-04-20 12:35:00-04:00,3,2,6.5
Philadelphia Phillies,Colorado Rockies,2014-04-20 15:10:00-04:00,10,9,9.5
San Francisco Giants,San Diego Padres,2014-04-20 15:10:00-04:00,4,3,7.0
Los Angeles Angels,Detroit Tigers,2014-04-20 12:05:00-04:00,1,2,9.0
New York Yankees,Tampa Bay Rays,2014-04-20 12:40:00-04:00,5,1,8.5
Chicago White Sox,Texas Rangers,2014-04-20 14:05:00-04:00,16,2,9.0
Baltimore Orioles,Boston Red Sox,2014-04-20 18:05:00-04:00,5,6,8.0
Seattle Mariners,Miami Marlins,2014-04-20 12:10:00-04:00,2,3,8.0
Arizona Diamondbacks,Chicago Cubs,2014-04-21 19:05:00-04:00,1,5,8.75
San Francisco Giants,Colorado Rockies,2014-04-21 19:40:00-04:00,2,8,10.5
Chicago White Sox,Detroit Tigers,2014-04-21 18:05:00-04:00,3,1,8.5
Cincinnati Reds,Pittsburgh Pirates,2014-04-21 18:05:00-04:00,5,6,7.5
Miami Marlins,Atlanta Braves,2014-04-21 18:10:00-04:00,2,4,7.5
San Diego Padres,Milwaukee Brewers,2014-04-21 19:10:00-04:00,3,4,8.0
Philadelphia Phillies,Los Angeles Dodgers,2014-04-21 21:10:00-04:00,7,0,7.0
Baltimore Orioles,Boston Red Sox,2014-04-21 10:05:00-04:00,7,6,8.0
Kansas City Royals,Cleveland Indians,2014-04-21 18:05:00-04:00,3,4,8.5
Houston Astros,Seattle Mariners,2014-04-21 21:10:00-04:00,7,2,6.0
Los Angeles Angels,Washington Nationals,2014-04-21 18:05:00-04:00,4,2,8.0
Arizona Diamondbacks,Chicago Cubs,2014-04-22 19:05:00-04:00,2,9,6.75
Minnesota Twins,Tampa Bay Rays,2014-04-22 18:10:00-04:00,3,7,7.5
Texas Rangers,Oakland Athletics,2014-04-22 21:05:00-04:00,5,4,7.5
Miami Marlins,Atlanta Braves,2014-04-22 18:10:00-04:00,1,0,6.5
San Diego Padres,Milwaukee Brewers,2014-04-22 19:10:00-04:00,2,1,8.0
Philadelphia Phillies,Los Angeles Dodgers,2014-04-22 21:10:00-04:00,3,2,6.5
Chicago White Sox,Detroit Tigers,2014-04-22 18:05:00-04:00,6,8,8.5
Baltimore Orioles,Toronto Blue Jays,2014-04-22 18:05:00-04:00,3,9,9.5
New York Yankees,Boston Red Sox,2014-04-22 18:10:00-04:00,9,3,7.5
Houston Astros,Seattle Mariners,2014-04-22 21:10:00-04:00,5,2,8.0
Los Angeles Angels,Washington Nationals,2014-04-22 18:05:00-04:00,7,2,8.0
Arizona Diamondbacks,Chicago Cubs,2014-04-23 13:20:00-04:00,7,5,6.5
Cincinnati Reds,Pittsburgh Pirates,2014-04-23 18:05:00-04:00,5,2,7.5
San Diego Padres,Milwaukee Brewers,2014-04-23 19:10:00-04:00,2,5,7.5
Houston Astros,Seattle Mariners,2014-04-23 14:40:00-04:00,3,5,8.0
Kansas City Royals,Cleveland Indians,2014-04-23 18:05:00-04:00,3,5,7.0
Minnesota Twins,Tampa Bay Rays,2014-04-23 18:10:00-04:00,6,4,8.5
Miami Marlins,Atlanta Braves,2014-04-23 11:10:00-04:00,1,3,7.0
San Francisco Giants,Colorado Rockies,2014-04-23 14:10:00-04:00,12,10,9.5
Philadelphia Phillies,Los Angeles Dodgers,2014-04-23 21:10:00-04:00,2,5,6.5
Texas Rangers,Oakland Athletics,2014-04-23 14:35:00-04:00,3,0,7.0
Baltimore Orioles,Toronto Blue Jays,2014-04-23 18:05:00-04:00,10,8,8.5
Chicago White Sox,Detroit Tigers,2014-04-23 18:05:00-04:00,6,4,8.5
New York Yankees,Boston Red Sox,2014-04-23 18:10:00-04:00,1,5,8.5
Los Angeles Angels,Washington Nationals,2014-04-23 18:05:00-04:00,4,5,7.0
Atlanta Braves,Miami Marlins,2014-04-29 18:10:00-04:00,0,9,6.0
Milwaukee Brewers,St. Louis Cardinals,2014-04-29 19:15:00-04:00,5,4,7.0
San Diego Padres,San Francisco Giants,2014-04-29 21:15:00-04:00,0,6,7.0
Seattle Mariners,New York Yankees,2014-04-29 18:05:00-04:00,6,3,8.0
Toronto Blue Jays,Kansas City Royals,2014-04-29 19:10:00-04:00,7,10,8.5
New York Mets,Philadelphia Phillies,2014-04-29 18:05:00-04:00,6,1,7.0
Chicago Cubs,Cincinnati Reds,2014-04-29 18:10:00-04:00,2,3,7.5
Tampa Bay Rays,Boston Red Sox,2014-04-29 18:10:00-04:00,4,7,8.5
Cleveland Indians,Los Angeles Angels,2014-04-29 21:05:00-04:00,4,6,8.5
Chicago Cubs,Cincinnati Reds,2014-04-30 18:10:00-04:00,9,4,7.5
San Diego Padres,San Francisco Giants,2014-04-30 21:15:00-04:00,2,3,7.0
Cleveland Indians,Los Angeles Angels,2014-04-30 18:05:00-04:00,1,7,9.0
Oakland Athletics,Texas Rangers,2014-04-30 19:05:00-04:00,12,1,8.0
Milwaukee Brewers,St. Louis Cardinals,2014-04-30 12:45:00-04:00,3,9,7.0
Colorado Rockies,Arizona Diamondbacks,2014-04-30 20:40:00-04:00,4,5,8.5
Toronto Blue Jays,Kansas City Royals,2014-04-30 19:10:00-04:00,2,4,7.5
Milwaukee Brewers,Cincinnati Reds,2014-05-01 18:10:00-04:00,3,8,7.0
Tampa Bay Rays,Boston Red Sox,2014-05-01 18:10:00-04:00,6,5,9.0
Pittsburgh Pirates,Baltimore Orioles,2014-05-01 18:05:00-04:00,5,6,8.5
Tampa Bay Rays,Boston Red Sox,2014-05-01 12:05:00-04:00,2,1,9.0
New York Mets,Colorado Rockies,2014-05-01 19:40:00-04:00,4,7,9.5
Seattle Mariners,New York Yankees,2014-05-01 18:05:00-04:00,4,2,9.0
Los Angeles Dodgers,Minnesota Twins,2014-05-01 18:10:00-04:00,4,3,9.0
Pittsburgh Pirates,Baltimore Orioles,2014-05-01 15:05:00-04:00,1,5,9.0
Washington Nationals,Philadelphia Phillies,2014-05-02 18:05:00-04:00,5,3,6.5
New York Mets,Colorado Rockies,2014-05-02 19:40:00-04:00,3,10,9.5
Chicago White Sox,Cleveland Indians,2014-05-02 18:05:00-04:00,5,12,8.25
Detroit Tigers,Kansas City Royals,2014-05-02 19:10:00-04:00,8,2,7.5
Milwaukee Brewers,Cincinnati Reds,2014-05-02 18:10:00-04:00,2,0,7.5
San Francisco Giants,Atlanta Braves,2014-05-02 18:35:00-04:00,2,1,7.5
Arizona Diamondbacks,San Diego Padres,2014-05-02 21:10:00-04:00,2,0,7.0
Oakland Athletics,Boston Red Sox,2014-05-02 18:10:00-04:00,1,7,9.5
Baltimore Orioles,Minnesota Twins,2014-05-02 19:10:00-04:00,3,0,8.5
Texas Rangers,Los Angeles Angels,2014-05-02 21:05:00-04:00,5,2,9.0
Toronto Blue Jays,Pittsburgh Pirates,2014-05-02 18:05:00-04:00,5,6,7.5
Washington Nationals,Philadelphia Phillies,2014-05-03 18:05:00-04:00,2,7,7.5
New York Mets,Colorado Rockies,2014-05-03 19:10:00-04:00,10,11,10.5
Oakland Athletics,Boston Red Sox,2014-05-03 12:35:00-04:00,3,6,9.0
San Francisco Giants,Atlanta Braves,2014-05-03 18:10:00-04:00,3,1,7.5
Milwaukee Brewers,Cincinnati Reds,2014-05-03 18:10:00-04:00,2,6,7.0
Arizona Diamondbacks,San Diego Padres,2014-05-03 19:40:00-04:00,4,3,6.5
Tampa Bay Rays,New York Yankees,2014-05-03 12:05:00-04:00,3,9,8.5
Chicago White Sox,Cleveland Indians,2014-05-03 17:05:00-04:00,0,2,8.5
Texas Rangers,Los Angeles Angels,2014-05-03 20:05:00-04:00,3,5,8.5
Toronto Blue Jays,Pittsburgh Pirates,2014-05-03 18:05:00-04:00,6,8,7.5
St. Louis Cardinals,Atlanta Braves,2014-05-06 18:10:00-04:00,1,2,8.0
Minnesota Twins,Cleveland Indians,2014-05-06 18:05:00-04:00,2,4,7.5
New York Yankees,Los Angeles Angels,2014-05-06 21:05:00-04:00,4,3,7.5
Cincinnati Reds,Boston Red Sox,2014-05-06 18:10:00-04:00,3,4,8.5
Texas Rangers,Colorado Rockies,2014-05-06 19:40:00-04:00,1,12,10.5
New York Mets,Miami Marlins,2014-05-06 18:10:00-04:00,0,3,7.5
Arizona Diamondbacks,Milwaukee Brewers,2014-05-06 19:10:00-04:00,7,5,7.5
Houston Astros,Detroit Tigers,2014-05-06 18:05:00-04:00,4,11,9.0
Baltimore Orioles,Tampa Bay Rays,2014-05-06 18:10:00-04:00,5,3,7.5
Seattle Mariners,Oakland Athletics,2014-05-06 21:05:00-04:00,8,3,7.0
Toronto Blue Jays,Philadelphia Phillies,2014-05-06 18:05:00-04:00,6,5,7.5
Chicago White Sox,Chicago Cubs,2014-05-06 19:05:00-04:00,5,1,7.0
Kansas City Royals,San Diego Padres,2014-05-06 21:10:00-04:00,3,1,6.5
New York Mets,Miami Marlins,2014-05-07 11:40:00-04:00,0,1,7.5
Arizona Diamondbacks,Milwaukee Brewers,2014-05-07 12:10:00-04:00,3,2,8.0
Houston Astros,Detroit Tigers,2014-05-07 18:05:00-04:00,2,3,8.5
Baltimore Orioles,Tampa Bay Rays,2014-05-07 18:10:00-04:00,4,3,7.5
Philadelphia Phillies,Toronto Blue Jays,2014-05-07 18:05:00-04:00,0,10,8.0
Colorado Rockies,Texas Rangers,2014-05-07 19:05:00-04:00,9,2,9.5
San Francisco Giants,Pittsburgh Pirates,2014-05-07 11:35:00-04:00,3,4,7.0
Los Angeles Dodgers,Washington Nationals,2014-05-07 12:05:00-04:00,2,3,6.5
Minnesota Twins,Cleveland Indians,2014-05-07 18:05:00-04:00,3,4,8.0
New York Yankees,Los Angeles Angels,2014-05-07 21:05:00-04:00,9,2,8.5
Cincinnati Reds,Boston Red Sox,2014-05-07 18:10:00-04:00,3,4,8.5
Seattle Mariners,Oakland Athletics,2014-05-07 17:35:00-04:00,0,2,8.0
Chicago Cubs,Atlanta Braves,2014-05-10 18:10:00-04:00,0,2,7.0
Los Angeles Angels,Toronto Blue Jays,2014-05-10 12:05:00-04:00,5,3,10.0
Houston Astros,Baltimore Orioles,2014-05-10 18:05:00-04:00,4,5,8.5
Arizona Diamondbacks,Chicago White Sox,2014-05-10 18:10:00-04:00,4,3,8.5
San Francisco Giants,Los Angeles Dodgers,2014-05-10 15:10:00-04:00,2,6,6.5
Philadelphia Phillies,New York Mets,2014-05-10 18:10:00-04:00,5,4,7.0
Colorado Rockies,Cincinnati Reds,2014-05-10 18:10:00-04:00,11,2,8.0
Minnesota Twins,Detroit Tigers,2014-05-10 12:05:00-04:00,3,9,8.0
Cleveland Indians,Tampa Bay Rays,2014-05-10 18:10:00-04:00,1,7,8.0
New York Yankees,Milwaukee Brewers,2014-05-10 18:10:00-04:00,4,5,7.5
Washington Nationals,Oakland Athletics,2014-05-10 20:05:00-04:00,3,4,7.0
New York Mets,Washington Nationals,2014-05-18 12:35:00-04:00,3,6,6.5
Chicago White Sox,Houston Astros,2014-05-18 13:10:00-04:00,2,8,9.5
Cincinnati Reds,Philadelphia Phillies,2014-05-18 12:35:00-04:00,3,8,6.5
Atlanta Braves,St. Louis Cardinals,2014-05-18 13:15:00-04:00,6,5,7.0
Miami Marlins,San Francisco Giants,2014-05-18 15:05:00-04:00,1,4,7.5
San Diego Padres,Colorado Rockies,2014-05-18 15:10:00-04:00,6,8,10.5
Baltimore Orioles,Kansas City Royals,2014-05-18 13:10:00-04:00,6,8,7.0
Detroit Tigers,Boston Red Sox,2014-05-18 19:05:00-04:00,6,2,8.5
Pittsburgh Pirates,New York Yankees,2014-05-18 12:05:00-04:00,3,4,8.5
San Francisco Giants,Colorado Rockies,2014-05-22 14:10:00-04:00,2,2,9.5
