away,home,start_dt,away_score,home_score,over_under,game_id,year,minute,total,over_hit,under_hit,push,city,humidity_0,humidity_1,humidity_2,humidity_3,humidity_4,temperature_0,temperature_1,temperature_2,temperature_3,temperature_4,weather_0,weather_1,weather_2,weather_3,weather_4,wind_dir_0,wind_dir_1,wind_dir_2,wind_dir_3,wind_dir_4,wind_spd_0,wind_spd_1,wind_spd_2,wind_spd_3,wind_spd_4
Los Angeles Angels,Boston Red Sox,2017-06-23T23:15:00Z,4,9,9.5,2537,2017,15,13,TRUE,FALSE,FALSE,Boston,74,79,69,78,83,300.75,299.06,297.98,297.48,297.06,overcast clouds,light rain,scattered clouds,sky is clear,scattered clouds,180,220,210,230,210,4,8,6,9,4
Los Angeles Angels,Boston Red Sox,2017-06-24T23:15:00Z,6,3,9.5,2549,2017,15,9,FALSE,TRUE,FALSE,Boston,66,83,83,94,94,301.48,300.73,299.31,297.22,296.05,broken clouds,overcast clouds,moderate rain,light rain,moderate rain,252,260,240,240,260,2,3,3,6,2
Los Angeles Angels,Boston Red Sox,2017-06-25T17:35:00Z,4,2,11,2558,2017,35,6,FALSE,TRUE,FALSE,Boston,78,74,66,70,74,300.15,300.4,300.39,299.29,298.22,sky is clear,sky is clear,light rain,light rain,broken clouds,350,350,230,120,150,2,2,2,1,2
Minnesota Twins,Boston Red Sox,2017-06-26T23:10:00Z,1,4,8,2569,2017,10,5,FALSE,TRUE,FALSE,Boston,47,57,60,68,73,297.05,295.89,294.47,292.71,291.88,sky is clear,moderate rain,light rain,sky is clear,light rain,90,110,110,256,256,3,3,2,1,1
Minnesota Twins,Boston Red Sox,2017-06-28T00:00:00Z,2,9,10,2580,2017,0,11,TRUE,FALSE,FALSE,Boston,72,68,93,83,88,292.24,290.65,289.63,288.85,287.94,light rain,light rain,mist,mist,sky is clear,301,230,220,50,50,3,3,2,3,2
Minnesota Twins,Boston Red Sox,2017-06-28T23:10:00Z,4,1,10,2590,2017,10,5,FALSE,TRUE,FALSE,Boston,60,64,73,73,77,297.06,296.23,294.82,292.06,291.05,sky is clear,sky is clear,sky is clear,sky is clear,sky is clear,100,100,120,130,150,4,5,3,3,2
Minnesota Twins,Boston Red Sox,2017-06-29T23:10:00Z,3,6,10,2603,2017,10,9,FALSE,TRUE,FALSE,Boston,57,57,65,69,69,296.47,296.13,295.55,294.71,294.54,scattered clouds,scattered clouds,broken clouds,sky is clear,overcast clouds,190,200,200,210,210,5,6,6,8,7
Tampa Bay Rays,Chicago Cubs,2017-07-04T18:20:00Z,6,5,7.5,2625,2017,20,11,TRUE,FALSE,FALSE,Chicago,54,54,58,54,54,300.69,301.25,301.03,300.64,300.23,broken clouds,broken clouds,proximity thunderstorm,scattered clouds,scattered clouds,120,87,100,80,70,2,4,2,4,4
Pittsburgh Pirates,Chicago Cubs,2017-07-07T18:20:00Z,1,6,9,2633,2017,20,7,FALSE,TRUE,FALSE,Chicago,62,51,43,35,33,301.24,301.56,300.83,300.61,300.02,proximity thunderstorm,proximity thunderstorm,scattered clouds,scattered clouds,broken clouds,350,20,350,350,20,3,6,6,6,4
Pittsburgh Pirates,Chicago Cubs,2017-07-08T23:15:00Z,4,2,8,2653,2017,15,6,FALSE,TRUE,FALSE,Chicago,30,38,49,49,52,297.53,297.25,296.36,295.04,292.8,scattered clouds,sky is clear,sky is clear,sky is clear,sky is clear,330,30,117,110,106,2,2,2,1,3
Toronto Blue Jays,Boston Red Sox,2017-07-17T23:10:00Z,4,3,9,2663,2017,10,7,FALSE,TRUE,FALSE,Boston,65,73,83,88,88,299.99,298.49,296.79,295.69,295.52,sky is clear,sky is clear,sky is clear,few clouds,sky is clear,190,160,150,171,170,5,2,2,4,2
Chicago White Sox,Chicago Cubs,2017-07-25T18:20:00Z,2,7,9,2675,2017,20,9,FALSE,FALSE,TRUE,Chicago,50,47,36,34,36,298.15,298.69,299.55,299.65,299.76,sky is clear,sky is clear,scattered clouds,scattered clouds,broken clouds,170,190,150,140,140,4,3,3,4,2
Arizona Diamondbacks,Chicago Cubs,2017-08-03T00:05:00Z,3,0,8,2716,2017,5,3,FALSE,TRUE,FALSE,Chicago,57,65,83,88,88,299.55,299.17,296.51,296.24,295.51,broken clouds,thunderstorm,light rain,broken clouds,scattered clouds,40,30,60,20,60,5,5,4,4,2
Chicago White Sox,Boston Red Sox,2017-08-06T17:35:00Z,3,6,10.5,2726,2017,35,9,FALSE,TRUE,FALSE,Boston,38,38,36,38,41,296.95,297.55,298.45,298.15,297.35,scattered clouds,sky is clear,sky is clear,few clouds,sky is clear,300,290,0,0,0,7,4,3,2,3
Washington Nationals,Chicago Cubs,2017-08-06T18:20:00Z,9,4,9,2733,2017,20,13,TRUE,FALSE,FALSE,Chicago,53,53,60,53,47,296.06,296.25,295.85,296.65,296.69,broken clouds,scattered clouds,light rain,sky is clear,scattered clouds,180,200,160,280,160,3,4,4,3,2
St. Louis Cardinals,Boston Red Sox,2017-08-15T23:10:00Z,4,10,10,2773,2017,10,14,TRUE,FALSE,FALSE,Boston,73,83,83,88,94,296.56,295.73,295.06,294.16,293.41,scattered clouds,sky is clear,sky is clear,sky is clear,mist,210,220,0,230,230,3,3,2,2,2
Cincinnati Reds,Chicago Cubs,2017-08-16T00:05:00Z,2,1,7.5,2775,2017,5,3,FALSE,TRUE,FALSE,Chicago,73,78,77,83,83,297.15,296.26,294.95,294.25,293.63,sky is clear,sky is clear,light rain,sky is clear,sky is clear,50,40,50,40,50,5,4,3,3,3
St. Louis Cardinals,Boston Red Sox,2017-08-16T23:10:00Z,4,5,9.5,2787,2017,10,9,FALSE,TRUE,FALSE,Boston,50,73,77,88,88,299.9,298.24,295.6,293.81,291.97,sky is clear,sky is clear,sky is clear,sky is clear,sky is clear,331,331,331,348,348,2,2,2,4,4
Cincinnati Reds,Chicago Cubs,2017-08-17T00:05:00Z,6,7,10,2788,2017,5,13,TRUE,FALSE,FALSE,Chicago,69,74,74,78,74,298.33,298.6,298.4,298.6,298.5,mist,light rain,mist,mist,mist,170,180,150,160,140,3,3,2,3,3
Baltimore Orioles,Boston Red Sox,2017-08-25T23:10:00Z,16,3,9.5,2808,2017,10,19,TRUE,FALSE,FALSE,Boston,56,77,72,82,87,295.08,293.79,290.9,288.98,287.34,sky is clear,broken clouds,sky is clear,sky is clear,sky is clear,260,306,310,300,300,1,3,2,2,2
Baltimore Orioles,Boston Red Sox,2017-08-27T17:35:00Z,2,1,10.5,2822,2017,35,3,FALSE,TRUE,FALSE,Boston,37,33,33,36,40,295.88,296.07,295.99,295.82,295.61,scattered clouds,scattered clouds,scattered clouds,scattered clouds,scattered clouds,0,60,280,350,60,1,2,2,1,1
Toronto Blue Jays,Boston Red Sox,2017-09-25T23:10:00Z,6,4,9,2842,2017,10,10,TRUE,FALSE,FALSE,Boston,61,93,78,83,100,298.18,295.59,294.25,293.7,292.93,sky is clear,scattered clouds,mist,mist,fog,140,120,146,162,130,3,2,3,2,2
Toronto Blue Jays,Boston Red Sox,2017-09-26T23:10:00Z,9,4,7.5,2851,2017,10,13,TRUE,FALSE,FALSE,Boston,88,94,88,94,100,298.8,296.17,295.16,294.54,293.7,mist,sky is clear,sky is clear,sky is clear,sky is clear,153,153,310,178,178,3,3,1,3,3
Toronto Blue Jays,Boston Red Sox,2017-09-27T23:10:00Z,7,10,9.5,2863,2017,10,17,TRUE,FALSE,FALSE,Boston,74,100,94,94,88,300.01,298.83,298,297.7,297.07,sky is clear,few clouds,mist,mist,mist,169,169,169,190,0,4,4,4,2,2
Cincinnati Reds,Chicago Cubs,2017-09-29T18:20:00Z,4,5,7,2868,2017,20,9,TRUE,FALSE,FALSE,Chicago,49,45,45,52,55,293.33,293.23,293.32,292.65,292.24,scattered clouds,scattered clouds,sky is clear,sky is clear,sky is clear,340,360,30,40,10,6,6,6,7,5
Cincinnati Reds,Chicago Cubs,2017-09-30T20:05:00Z,0,9,8,2879,2017,5,9,TRUE,FALSE,FALSE,Chicago,52,45,55,52,55,292.6,292.61,292.42,291.52,289.79,sky is clear,few clouds,sky is clear,few clouds,few clouds,20,90,50,60,70,3,4,4,3,6
